#{"t_start": 1776774591.3913927, "env_id": "None"}
r,l,t
-328.644812,13,17.431342
-333.576786,15,22.505807
-238.914869,19,28.556947
-281.449915,19,35.915065
-292.657722,13,41.314608
-283.546724,12,46.445253
-249.369095,19,52.101395
-298.783337,12,56.853225
-165.574616,19,63.079961
-306.581238,18,70.555646
-294.88597,16,76.245154
-296.73517,20,84.732202
-270.928121,13,89.304217
-253.536907,20,97.789188
-383.491956,18,105.424617
-187.41635,15,110.16973
-263.341275,9,116.363221
-188.295091,15,121.438999
-201.133766,22,129.441241
-339.132448,11,133.128862
-305.596372,16,138.085635
-247.863318,23,146.538656
-349.27635,12,150.563339
-297.543724,23,157.612204
-260.150957,12,162.112474
-269.893211,17,167.986459
-298.607516,14,174.2564
-290.119454,18,180.715508
-178.414606,17,187.190979
-260.06247,16,192.904656
-299.049685,17,199.111408
-287.49432,15,204.34824
-269.131137,18,210.358745
-241.657854,18,215.886789
-223.579713,18,221.352925
-257.248033,15,226.079982
-261.908285,19,232.792941
-298.808678,19,241.208291
-280.517697,18,248.643915
-327.572499,21,256.545506
-281.967773,14,261.810382
-245.698129,19,271.898797
-320.162875,18,277.689288
-276.784978,15,282.884225
-285.055858,17,289.580509
-264.552592,14,294.105547
-324.566279,20,301.18642
-280.040402,19,308.776941
-241.740554,16,314.756152
-158.729666,13,319.071196
-290.751837,18,325.253458
-300.811103,15,330.343867
-199.247008,13,334.580841
-353.880887,18,341.838809
-221.37647,22,349.147336
-437.594702,19,355.435843
-283.660849,19,361.456052
-281.099109,15,366.807127
-302.742903,11,371.675475
-295.002647,15,377.149446
-309.348952,18,383.662989
-281.228125,17,389.409231
-199.866655,25,397.726614
-218.63906,20,404.085848
-242.248533,15,409.723394
-311.63967,16,415.168054
-267.277712,20,421.487787
-297.178529,14,430.069098
-184.154549,21,437.095047
-376.372787,16,443.857922
-306.073663,12,447.683291
-308.535094,20,453.916413
-268.431524,25,461.590324
-245.277614,18,467.972453
-390.850019,21,477.031108
