#{"t_start": 1776774591.400079, "env_id": "None"}
r,l,t
-303.619759,11,16.811383
-273.517933,13,21.123892
-251.176089,21,27.947263
-309.697805,14,32.951495
-248.11668,15,38.709236
-286.45156,20,47.344607
-322.344103,16,52.100759
-262.440247,17,58.339971
-287.887591,14,63.07906
-231.341943,16,69.521043
-359.6836,19,76.710174
-298.04515,19,84.723516
-338.556017,20,93.334985
-230.802873,14,98.18957
-331.656752,16,104.07542
-367.525164,22,113.39175
-238.926367,17,121.011329
-257.773449,15,126.945624
-244.920778,18,132.662463
-259.10896,17,138.090751
-420.141371,16,144.409843
-337.499563,21,151.198535
-282.908675,16,155.943123
-301.420514,16,161.157216
-217.754059,19,168.40844
-287.504484,22,176.798498
-326.443345,20,185.058128
-240.694619,17,190.989651
-293.285571,13,195.663891
-401.101332,20,202.63047
-232.156195,16,208.026543
-296.61317,22,215.059337
-219.237274,27,223.754716
-205.547888,17,229.219573
-272.50046,19,235.860788
-368.496994,18,245.030094
-177.433819,15,251.454034
-242.018519,23,258.783132
-273.723833,14,266.299809
-339.21329,21,274.613345
-256.109587,19,280.927778
-333.279885,19,288.635916
-300.661141,14,293.055714
-296.545888,12,297.97458
-278.077136,20,304.376355
-329.839145,15,310.353433
-231.400481,16,316.399539
-320.825242,20,322.769611
-249.957731,20,329.766294
-252.760892,19,336.875349
-270.933955,21,344.824746
-287.225483,20,350.997809
-255.477724,18,357.028573
-327.708792,16,362.120211
-298.486984,13,366.812243
-291.779531,21,374.797932
-270.991449,13,379.668394
-340.529659,17,385.843674
-277.99041,19,392.532447
-257.310108,15,397.300607
-369.342453,18,403.218117
-292.711149,15,408.685008
-327.85325,22,416.270493
-188.914715,17,421.494209
-164.011969,11,426.68362
-231.338292,21,436.161427
-251.432617,17,443.047945
-318.878788,14,447.705632
-383.416273,14,451.573096
-337.459566,16,456.648733
-424.081796,20,463.393257
-257.75391,17,469.512022
-292.889755,19,477.804659
-269.322094,18,483.31656
-186.401908,19,490.959624
-281.487299,16,496.034246
-293.884686,18,502.333268
-235.34395,18,509.034122
-197.421684,14,515.645623
-264.406494,14,521.577169
-249.036972,19,528.900589
-277.34078,20,535.29511
-299.144306,18,540.819251
-258.460403,16,547.602697
-234.081658,18,553.97015
-289.782168,14,558.225461
-198.961994,14,564.988657
-262.22155,15,574.007022
-191.73137,13,578.690678
-134.457231,19,585.928453
-375.442591,18,591.688424
-234.204027,19,597.543024
-236.856942,22,605.926947
-253.650027,15,612.189482
-311.385928,13,616.192001
-320.147704,18,623.960678
-227.307248,14,630.13419
-264.23881,18,635.618957
-271.781128,18,643.603067
-270.120958,22,651.679565
-318.946551,19,658.519789
-255.411442,20,666.349257
-238.169138,18,673.470157
-181.622108,13,678.232365
-292.663531,13,683.712015
-281.82818,19,691.640276
-214.13605,21,700.004349
-271.423001,13,704.343287
-326.542173,23,713.009581
-281.235814,21,720.854272
-260.19577,19,726.890429
-284.026233,19,734.988868
-261.352176,14,739.644087
-292.513111,17,744.908665
-235.573011,15,749.621154
-226.882512,16,756.472293
-233.33367,17,762.435236
-284.646188,13,766.373961
-182.145374,18,772.199463
-221.633472,17,777.947641
-196.503313,18,785.510178
-232.305874,21,793.053491
-284.581535,21,800.095602
-232.921287,19,807.071136
-191.706489,21,813.549912
-250.750591,12,818.730875
-219.078138,20,826.081487
-316.594959,14,830.24943
-237.501802,14,836.970484
-259.199472,14,842.617055
-269.70459,15,847.766407
-267.564965,11,853.171111
-261.38181,23,860.809216
-317.828919,21,867.188781
-294.335592,22,875.683798
-253.293554,19,883.108989
-263.230467,12,887.646344
-346.124315,19,893.598279
-283.147524,13,898.213012
-320.789298,20,904.311588
-248.725604,15,908.944397
-371.123327,19,916.490353
-384.060445,21,924.245572
-449.501488,17,930.452703
-333.013868,11,933.879526
-239.301417,17,939.609058
-337.48255,16,944.934725
-271.034863,16,950.003847
-259.846082,15,955.687703
-343.075273,15,963.026859
-241.930144,20,969.511276
-265.445958,16,974.806906
-275.841636,19,981.722628
-149.218344,9,984.548535
-284.798407,15,991.741885
-264.560293,21,998.660398
-328.274871,15,1003.567477
-320.523275,11,1008.434953
-220.268314,18,1015.057211
-292.537852,22,1022.166604
-279.918361,14,1027.647757
-288.412113,16,1033.823421
-221.74822,16,1039.027823
-310.875576,18,1045.583802
-265.37224,17,1050.936431
-294.533027,16,1056.244064
-221.87179,20,1062.355952
-239.195287,19,1068.616435
-171.142361,15,1074.266972
-230.746718,17,1079.393242
-297.42056,15,1085.874958
-427.415636,18,1092.451191
-289.28395,20,1098.758363
-334.673494,22,1107.867662
-316.022284,15,1112.982186
-294.357505,9,1116.632651
-241.621968,19,1123.294864
-283.613473,21,1129.814003
-271.566526,9,1136.3152
-218.797916,22,1145.318245
-309.518974,11,1148.573367
-282.435135,16,1154.57144
-247.759276,14,1159.688737
-323.489702,16,1165.27652
-372.671297,20,1172.411678
-235.806556,10,1176.817853
-267.636571,19,1182.895739
-232.949007,17,1190.216058
-214.535278,9,1193.444955
-281.645796,19,1199.552946
-263.988987,14,1205.020467
-121.424422,13,1210.035108
-440.628662,15,1215.451118
-277.00254,11,1219.658745
-280.23467,18,1225.555131
-225.173199,16,1230.618533
-256.632295,24,1239.959203
-312.588249,16,1247.385951
-279.027273,16,1254.821344
-313.394367,17,1261.776373
-251.234944,14,1267.047748
-274.287449,20,1273.131934
-289.01146,22,1281.020809
-286.975508,18,1286.521036
-279.814147,21,1295.092462
-211.651645,13,1299.260183
-320.530048,11,1302.542544
-251.972639,19,1308.944831
-289.897444,22,1317.110637
-282.727045,15,1322.513387
-306.071916,18,1329.003681
-290.499381,13,1333.327106
-229.568899,15,1338.101607
-309.764443,13,1346.612519
-276.222789,19,1352.796968
-246.393745,21,1360.432415
-330.197753,19,1367.726302
-159.980658,11,1371.064615
-340.857632,21,1377.880796
-289.44799,19,1384.35175
-341.462414,18,1391.731743
-309.711197,15,1397.433149
-334.307331,19,1403.757597
-242.679531,19,1409.32845
-342.830323,13,1413.695866
-276.482641,18,1421.540964
-302.90053,23,1429.526536
-301.050488,19,1436.066216
-258.857107,15,1441.52254
-327.27194,15,1446.163837
-318.274128,13,1450.366115
-248.396963,19,1458.846139
-338.034978,19,1465.053193
-223.266781,11,1469.087859
-271.479869,20,1475.514837
-155.772234,15,1480.464454
-287.858495,18,1485.919052
-257.404035,23,1493.754995
-227.786611,18,1501.629721
-259.816885,17,1507.481287
-262.384432,22,1515.557444
-231.713457,17,1520.858759
-233.439243,16,1526.810587
-295.525103,22,1534.793943
-297.379432,20,1542.276453
-273.176544,15,1549.129807
-406.844433,19,1556.711536
-237.714603,17,1563.728505
-262.324492,15,1569.454309
-302.297434,11,1577.406668
-277.957612,9,1582.109989
-244.253113,14,1587.807971
-253.002354,20,1595.305502
-337.109075,17,1600.66965
-268.202713,21,1608.11279
-331.002435,19,1614.622902
-261.190756,18,1622.788534
-306.208029,19,1629.285208
-345.829083,17,1635.244095
-275.38587,17,1641.324528
-337.117963,19,1647.195195
-229.625912,14,1651.745149
-310.522129,16,1658.568763
-222.752775,20,1666.475735
-198.681512,16,1672.641701
-223.513612,17,1679.114669
-263.103932,15,1686.200124
-278.2538,18,1693.040271
-366.067505,21,1700.670492
-266.422584,25,1710.989903
-315.542583,19,1717.793718
-311.310308,19,1724.195042
-288.749383,23,1732.984652
-237.575981,17,1741.340235
-256.8478,19,1747.604521
-220.210037,16,1754.443092
-245.471525,16,1761.042179
-293.404317,8,1765.057874
-233.396625,18,1772.071791
-230.840987,17,1778.806846
-346.696922,17,1784.121232
-346.431821,17,1790.079172
-322.817692,20,1798.375708
-275.415651,19,1806.665655
-243.823831,21,1814.02864
-313.52481,18,1819.739347
-349.713008,19,1826.818206
-321.299713,19,1833.824908
-335.523164,15,1839.790621
-322.201577,15,1844.761994
-206.395743,19,1850.396833
-373.858819,14,1856.404565
-339.93314,18,1862.836716
-208.478875,23,1873.275231
-306.554856,19,1879.931056
-334.832149,15,1885.745474
-266.675539,17,1891.504241
-308.229882,17,1897.350936
-242.436242,17,1904.267236
-330.711173,16,1909.542921
-272.412985,19,1915.919461
-252.083014,13,1921.056745
-307.006004,19,1929.665985
-262.616131,14,1934.016579
-297.635741,17,1938.852516
-237.845715,19,1947.231465
-222.945802,18,1953.812918
-242.330809,16,1959.671811
-314.125927,21,1966.300159
-330.271026,17,1971.116676
-246.918182,15,1979.033419
-258.736947,18,1985.292333
-216.154745,16,1990.664689
-230.345467,18,1996.126637
-285.513492,16,2001.872969
-273.712476,13,2007.495194
-272.684628,17,2014.260265
-279.148649,19,2021.439562
-278.001463,19,2027.77393
-305.70735,16,2033.985756
-204.673684,20,2041.434672
-300.451555,17,2047.720179
-199.16148,18,2054.271366
-269.389328,20,2060.313094
-298.113137,15,2064.885839
-289.414183,23,2074.379284
-318.063118,16,2081.696273
-406.451001,22,2088.534931
-259.790604,15,2093.89683
-298.259582,16,2099.106629
-290.972402,15,2104.415432
-273.378599,17,2110.986327
-312.722252,20,2119.08703
-312.458635,19,2125.464665
-276.856494,23,2135.51416
-197.943328,17,2143.045882
-301.96855,14,2147.59076
-323.676746,21,2154.281245
-325.046726,18,2159.571485
-249.78413,16,2164.646866
-227.389853,17,2170.778492
-261.281622,18,2179.318362
-270.341654,15,2184.179056
-336.967135,17,2189.855277
-257.251044,15,2197.013563
-260.913514,15,2202.956361
-236.928442,17,2210.169287
-226.279095,19,2216.897535
-283.788691,20,2222.749051
-290.517405,9,2227.622081
-254.088379,19,2234.81754
-291.779198,19,2240.640911
-264.033855,21,2247.541178
-278.520812,18,2253.342621
-235.546235,19,2259.609378
-239.948795,18,2266.256751
-294.557393,12,2270.391515
-357.913235,12,2274.289382
-298.164013,20,2281.597887
-206.901941,17,2286.980881
-297.819237,10,2290.616448
-372.66785,11,2294.353035
-253.918237,15,2298.907341
-273.033659,17,2304.497101
-275.922841,18,2313.501597
-187.977187,15,2319.201669
-121.461451,12,2322.751975
-312.385435,14,2327.164018
-318.59112,12,2333.510743
-167.004532,16,2339.295713
-248.657935,16,2344.33544
-274.908415,13,2350.575472
-242.185874,19,2357.328257
-261.32743,19,2364.232823
-340.37549,21,2371.417923
-333.900804,19,2377.765444
-260.759659,13,2382.234911
-324.986293,14,2389.921927
-228.195603,16,2396.474178
-236.149671,17,2403.941042
-352.671723,17,2409.52192
-197.139534,18,2416.322524
-226.912863,16,2421.418927
