#{"t_start": 1776774600.5342677, "env_id": "None"}
r,l,t
-254.935408,16,3081.999923
-249.803842,11,3088.636908
-273.007485,14,3093.629936
-334.044378,17,3097.75377
-264.158187,7,3103.479726
-246.046955,12,3107.229432
-208.362945,11,3110.490232
-293.173678,14,3117.491273
-216.352102,14,3121.187831
-252.967658,10,3125.636537
-317.215947,14,3129.264889
-258.552084,11,3133.189312
-340.062107,14,3137.394401
-247.216497,15,3141.102604
-124.570331,21,6381.275752
-123.191302,21,6385.901091
-122.962016,23,6391.326182
-156.663564,20,6395.872445
-139.439309,23,6401.273396
-154.773528,23,6406.559279
-136.265736,22,6411.958591
-153.030667,24,6417.579819
-161.521689,23,6423.021608
-157.195807,23,6428.588603
-125.237908,21,6433.272527
-172.527161,22,6438.352185
-103.904798,21,9707.53967
-112.908468,20,9712.632902
-136.975007,20,9717.285762
-128.782108,21,9722.102424
-133.199802,22,9727.340821
-197.967809,19,9731.906064
-135.821207,21,9736.841661
-106.559844,17,9740.933759
-132.261464,22,9746.095746
-116.632536,21,9751.126444
-112.496827,23,9756.959731
-106.211808,23,9762.426603
-166.201258,19,9767.091166
-163.548014,21,13060.154544
-110.841976,23,13065.374312
-92.788401,25,13071.553765
-102.508383,22,13076.705902
-122.373794,21,13081.573447
-87.302493,24,13087.208987
-121.853878,23,13092.673399
-142.629115,23,13097.97769
-121.653651,23,13103.299291
-105.201412,22,13108.58007
-105.552971,20,13113.128206
-103.542645,22,13118.505029
-149.304086,20,13123.217778
-112.150877,25,16392.732838
-130.330764,21,16397.440845
-91.895767,21,16402.413321
-88.895325,26,16408.853931
-89.673024,24,16414.344114
-103.442284,23,16419.736694
-106.640976,23,16425.157417
-132.084264,24,16430.674597
-113.010116,17,16434.721974
-92.800462,22,16439.999971
-110.005747,22,16445.425694
-91.092853,24,16451.20019
-99.635362,20,16456.023477
-104.248359,25,19665.595102
-106.082166,22,19670.577048
-123.283174,28,19677.308449
-121.028691,23,19682.634033
-109.950251,29,19689.272094
-94.557076,22,19694.291594
-112.309372,20,19698.747623
-114.484231,19,19703.265882
-141.769905,21,19708.304684
-108.608599,20,19712.971885
-98.323899,22,19717.932256
-149.618528,22,19722.824532
-94.557076,22,19727.664496
-83.004433,23,19733.165787
-112.717001,29,22890.776896
-109.632365,25,22896.682684
-159.762181,24,22902.492784
-108.243882,28,22909.066595
-129.123606,24,22914.986488
-109.3692,23,22920.31541
-99.286342,25,22926.447837
-91.085175,24,22932.028496
-103.483361,25,22937.962851
-105.583343,28,22944.36733
-103.483361,25,22950.545228
-135.304306,24,22956.286155
-131.546304,26,22962.587098
-104.887985,28,26128.979769
-125.914452,32,26136.076768
-123.331228,31,26143.043888
-113.052503,22,26148.312982
-102.949676,32,26155.731844
-98.857109,32,26163.348352
-104.612113,26,26169.5409
-77.781212,23,26174.81636
-65.861107,27,26181.101057
-132.185431,29,26187.881921
-115.810871,34,26195.662335
-100.29468,20,26200.335307
-111.567343,26,26206.163272
-76.700601,30,29385.819494
-94.208021,25,29392.432665
-86.789398,25,29399.723781
-84.63029,27,29408.692037
-78.855087,28,29416.610402
-88.468452,21,29421.912314
-89.778387,21,29426.784932
-98.374644,25,29432.49871
-108.009269,29,29439.192935
-93.313797,24,29444.758091
-79.258397,26,29450.98596
-120.567498,22,29456.137513
-106.553013,28,29462.954898
-119.199741,24,32518.185857
-70.525606,24,32523.769321
-117.682715,26,32529.817693
-123.644576,29,32536.562482
