#{"t_start": 1776774591.3796756, "env_id": "None"}
r,l,t
-286.098517,16,18.51823
-282.564683,18,24.675002
-265.885037,14,29.157193
-247.48656,18,35.924774
-267.561399,18,44.435547
-264.256355,13,48.248481
-273.643219,17,53.400337
-266.523736,18,59.719258
-210.715069,17,66.12732
-253.442258,15,72.331607
-150.415657,17,79.470555
-294.146725,19,87.062891
-273.759585,13,92.2981
-279.784443,10,95.553324
-285.239894,14,100.776794
-236.178762,14,107.030241
-303.508433,18,115.135171
-250.263087,19,122.529197
-306.382516,12,127.35372
-243.0099,17,132.690897
-266.450937,20,139.78059
-253.373625,14,144.843988
-258.580954,20,151.218939
-241.240461,18,156.678783
-205.076218,24,164.531344
-362.397693,19,171.805206
-266.975071,20,180.29853
-246.904976,11,184.605507
-259.770869,12,188.747432
-283.522365,23,197.372256
-235.168906,12,201.086909
-289.760085,15,206.627591
-244.219286,19,212.784144
-277.493038,14,217.166821
-246.610747,15,221.770365
-266.53784,15,226.518666
-238.464788,19,233.255101
-265.31758,14,239.987906
-267.709877,18,247.222771
-245.538963,16,253.596804
-292.948836,13,257.820489
-342.71049,11,263.737227
-271.080895,14,270.527926
-245.282783,17,276.212949
-287.029088,17,281.897522
-225.576938,21,290.09391
-322.881781,18,295.616811
-274.77002,24,304.398765
-169.330752,20,312.501327
-256.86968,19,319.092854
-281.476284,19,325.65938
-268.307542,16,331.0187
-374.898693,14,336.064321
-286.520937,22,344.423055
-250.040544,21,350.991356
-325.153133,16,356.428317
-334.429517,16,361.471785
-326.153275,16,367.251737
-272.79323,19,374.160803
-322.428385,14,379.703934
-183.721008,7,382.244715
-243.667885,14,387.085645
-198.099561,20,394.276661
-230.09249,17,399.6363
-263.463394,15,404.506747
-269.086735,15,410.740618
-331.703746,15,415.181779
-272.520655,19,421.086272
-396.501114,19,431.298867
-334.099716,17,437.110779
-236.473047,22,445.775629
-302.718368,21,452.114316
-226.401499,21,458.80498
-227.354745,22,465.962
-249.512259,17,472.019757
-284.37496,20,480.72998
-261.967088,16,486.564754
-139.097702,11,490.55305
-282.798995,19,497.406339
-401.437045,17,502.757319
-261.068665,16,508.654808
-277.505916,16,516.928455
-425.870416,22,525.382995
-249.987391,13,529.965467
-297.23355,18,535.728735
-319.930809,9,538.428138
-311.000584,15,544.775364
-270.071289,15,549.721664
-271.685329,13,554.414586
-444.912744,17,559.746339
-245.954061,18,569.770136
-278.478116,18,578.010754
-267.514404,15,583.780158
-308.372066,22,591.051454
-145.516096,10,594.412631
-270.153261,22,601.463275
-212.131559,15,607.772028
-265.318717,17,614.102585
-225.63882,17,620.032834
-273.898217,12,626.858441
-310.11176,17,632.295327
-258.910868,14,638.60893
-286.591893,19,644.944986
-262.633489,18,651.684781
-300.450051,13,656.306481
-233.006691,22,664.174971
-316.732745,16,671.606619
-290.98506,17,677.213962
-263.413806,17,685.138082
-251.44458,13,689.809528
-258.826193,18,696.647536
-299.056176,20,704.367709
-293.526866,17,710.365439
-276.633886,12,715.206722
-253.983264,19,722.38618
-340.451724,20,729.206971
-204.070732,19,736.394244
-291.512115,19,742.642935
-303.392987,12,746.666358
-260.043141,14,750.799215
-401.69626,18,758.970345
-261.104784,16,764.108209
-244.93052,11,767.443841
-323.435858,19,773.527133
-243.584221,15,778.628768
-233.51972,12,784.257121
-338.303075,16,789.119496
-291.125729,13,794.184264
-331.185535,21,801.609029
-268.565821,19,808.301658
-295.444791,18,814.506947
-316.340694,10,818.37192
-174.044366,18,825.212972
-351.100314,20,831.146612
-236.242382,20,840.262471
-290.075964,19,847.350679
-300.835673,15,854.084815
-247.832976,14,858.760804
-262.219277,19,864.747308
-247.717017,17,869.68258
-284.89114,17,877.686288
-259.51518,14,882.704904
-317.583121,17,888.842336
-226.891373,18,895.073364
-367.189279,15,899.658955
-305.118403,14,903.927131
-249.051525,19,909.962961
-227.855533,17,916.898459
-317.316114,15,922.05795
-289.736642,17,928.698666
-200.807934,19,935.153374
-260.823461,18,940.945206
-331.597018,20,947.299053
-329.741568,17,953.538321
-208.709655,17,961.834385
-300.787086,21,968.452384
-217.127902,18,974.396619
-297.509797,18,980.446075
-254.959172,14,987.197814
-303.912014,20,994.511357
-325.068467,14,999.070526
-237.519077,14,1003.57005
-235.496756,18,1011.377845
-249.538571,18,1017.298251
-332.259995,20,1023.913701
-309.349437,12,1028.843117
-221.133152,18,1035.50801
-317.869548,20,1042.86575
-262.70245,17,1048.401375
-258.423448,18,1054.019409
-286.68557,19,1060.119903
-181.902773,13,1064.109909
-352.392356,19,1071.019952
-172.87806,13,1075.407667
-252.497002,18,1081.246572
-328.701287,15,1087.158962
-336.315345,17,1093.610377
-372.819053,23,1102.205389
-283.836611,18,1108.627386
-287.395003,10,1111.962145
-249.882697,16,1118.370346
-141.92406,17,1123.9532
-307.445225,15,1128.456983
-234.163142,15,1137.020023
-254.305916,15,1142.191212
-272.291157,20,1150.270627
-281.203484,15,1155.905297
-287.302143,14,1161.514999
-352.915151,16,1166.996875
-363.371464,18,1172.835097
-232.481367,17,1179.344328
-312.168649,11,1182.934494
-262.015338,16,1189.824545
-271.346556,18,1196.285117
-246.596539,12,1200.934098
-268.552186,11,1204.287349
-219.343055,20,1212.034102
-192.429758,16,1218.240967
-282.612275,11,1221.491281
-255.733594,19,1227.927338
-253.944415,14,1233.197499
-261.116857,13,1238.254701
-271.00676,11,1243.75142
-261.911455,16,1251.580494
-296.042793,14,1257.458878
-284.169725,16,1262.883928
-278.56153,19,1268.875487
-282.241165,16,1274.571841
-236.131665,16,1280.000138
-240.782481,15,1284.625036
-274.897897,12,1290.435087
-215.176172,14,1294.699676
-253.889778,20,1300.924242
-171.911438,11,1304.628199
-206.590322,13,1308.999222
-268.567286,20,1316.371843
-264.611169,20,1324.020554
-255.325848,18,1330.233796
-233.207665,11,1333.775259
-313.89995,15,1338.525639
-270.719777,18,1349.11011
-289.196665,16,1354.051619
-340.790709,23,1361.972005
-309.208251,18,1369.009082
-284.111154,17,1374.479701
-230.570878,20,1381.070066
-297.378969,15,1387.236733
-363.866079,21,1394.026379
-230.542776,18,1400.708146
-243.048193,17,1406.495025
-242.348141,21,1412.8695
-285.864055,19,1420.865602
-277.196193,19,1427.900646
-320.462731,19,1434.494112
-288.544156,25,1443.248231
-357.558103,16,1448.595624
-290.847873,18,1455.013274
-285.174753,20,1462.871635
-272.044429,11,1466.889347
-231.770338,17,1472.532053
-267.807288,14,1477.497421
-294.987343,13,1481.255299
-217.573966,19,1487.15581
-221.405619,12,1491.355362
-253.669011,16,1496.823978
-214.206543,17,1504.467163
-230.791512,17,1510.879626
-269.112148,14,1515.181862
-391.135273,19,1521.293082
-273.081239,14,1526.423003
-219.636272,16,1531.84471
-254.152021,19,1539.699573
-230.708398,13,1543.899891
-305.67161,10,1549.149208
-257.41021,14,1555.359192
-326.231351,16,1561.490219
-394.304897,17,1568.094506
-277.210754,9,1573.778096
-204.987014,21,1584.066458
-271.936443,16,1591.532623
-256.919525,16,1596.830034
-272.580916,19,1603.541227
-313.712142,16,1608.635436
-311.012754,18,1614.658202
-240.500886,16,1621.988006
-257.587745,14,1626.842957
-240.223764,14,1631.731231
-280.216453,22,1639.660413
-265.577524,14,1643.989009
-275.858784,17,1649.371732
-241.972571,11,1653.184504
-239.37206,17,1660.232015
-270.801944,20,1668.53058
-244.233225,20,1676.436
-229.164827,15,1681.363295
-251.797098,17,1689.448056
-236.074604,17,1695.203843
-287.251214,12,1700.283375
-282.049167,18,1706.838885
-393.956499,15,1713.098463
-259.535277,19,1719.825013
-311.897687,19,1727.569687
-291.855503,17,1734.221975
-277.375165,15,1740.531247
-206.116609,19,1747.206957
-322.293515,21,1755.652989
-240.229317,17,1762.952114
-353.564669,17,1770.762916
-332.061063,15,1777.003212
-262.737267,17,1782.406651
-195.0182,14,1787.391149
-288.31908,17,1794.457955
-287.761379,17,1801.129076
-259.461021,12,1805.837041
-232.619723,15,1811.360186
-298.773838,18,1817.129544
-317.447666,16,1823.105601
-268.194203,19,1829.399282
-246.686963,18,1835.893949
-262.729956,20,1843.840818
-265.774155,22,1850.413228
-228.55724,14,1856.415192
-304.877826,19,1863.27728
-319.19121,19,1872.378613
-249.82439,16,1877.65992
-258.415943,19,1884.683186
-280.982795,14,1889.979731
-250.582144,18,1895.896615
-297.120349,16,1901.514239
-297.031408,18,1908.087159
-170.404206,9,1911.490068
-278.167994,18,1917.498033
-354.33703,18,1925.031365
-199.604677,21,1933.40677
-308.991934,20,1939.331088
-286.192574,11,1942.912942
-259.40066,19,1951.911716
-302.365764,17,1958.254117
-277.382943,22,1965.010914
-233.830059,21,1971.139091
-202.36013,14,1977.703208
-265.299889,18,1984.894325
-267.539357,17,1990.689121
-271.25823,17,1995.628327
-227.36198,17,2001.877619
-245.150491,21,2011.061486
-243.478375,15,2016.827559
-285.387547,13,2021.457956
-237.202046,20,2028.52655
-191.261666,22,2036.288242
-232.394885,14,2042.222232
-234.719771,18,2048.582159
-277.126984,19,2055.402032
-275.163343,19,2061.080365
-285.776828,19,2067.140641
-281.29807,21,2075.6737
-229.043994,17,2083.093746
-277.52912,16,2088.157605
-258.358217,20,2094.975182
-266.468365,16,2100.673455
-246.098653,15,2105.758275
-443.656595,19,2114.262023
-252.720814,14,2119.111451
-362.086838,19,2125.481048
-337.130659,21,2134.724205
-238.207528,16,2141.979668
-278.38908,19,2148.316894
-228.284037,18,2153.802466
-384.777027,19,2159.597025
-288.706469,19,2165.714839
-209.171192,16,2172.349663
-353.134531,18,2180.014315
-288.977007,20,2186.357495
-241.286064,20,2194.771479
-274.374704,20,2202.970502
-135.04516,10,2207.398828
-316.97241,18,2213.672549
-277.072014,15,2219.022457
-286.287223,15,2223.454637
-286.461278,15,2229.976285
-225.758462,19,2237.182317
-256.274821,13,2241.312087
-254.643664,13,2245.868021
-344.962315,16,2251.047403
-290.309013,16,2256.664516
-238.032627,15,2261.037724
-300.260325,18,2268.087832
-235.618605,18,2273.671544
-260.255129,15,2278.904316
-253.593294,17,2284.748077
-297.405968,15,2289.957168
-330.909846,13,2294.379225
-291.15991,18,2299.992443
-252.901533,19,2306.539998
-345.396669,18,2315.599201
-300.845871,16,2321.022054
-300.774432,10,2324.385954
-131.964198,10,2327.198862
-307.047623,15,2334.864195
-277.2024,16,2340.275009
-247.184911,15,2345.035794
-235.06994,17,2352.750874
-285.066873,14,2357.851727
-311.02196,22,2365.472507
-255.209004,17,2371.424536
-308.845316,19,2377.790119
-292.792683,17,2384.050463
-236.212792,21,2394.690133
-272.518596,18,2402.397307
-295.931358,18,2408.52823
-271.677976,18,2415.264014
-245.409981,14,2419.698536
-269.269458,20,2427.225312
-259.0638,17,2434.429816
-286.940563,19,2440.589688
-424.00453,18,2450.553164
-273.632708,22,2459.432418
-235.205172,20,2466.351171
-238.304437,19,2472.783199
-268.056141,21,2480.487916
-284.080429,16,2487.601992
-309.969193,21,2493.563004
-216.956071,22,2500.103085
-304.903374,14,2505.945104
-299.600641,23,2512.983595
-261.116382,18,2520.843872
-245.245837,13,2526.038417
-173.934003,15,2532.048716
-320.900106,18,2537.744376
-242.757253,12,2543.066008
-256.318801,16,2550.049393
