#{"t_start": 1776774591.3868575, "env_id": "None"}
r,l,t
-229.696752,16,18.51506
-294.10682,19,25.093161
-246.083545,15,29.834146
-243.413242,17,36.335252
-240.969781,17,44.414549
-277.361938,18,49.622187
-311.567385,17,55.106854
-327.853787,18,61.813348
-211.868481,13,66.529088
-267.527506,12,71.558639
-342.955189,18,78.063649
-312.10456,15,84.726928
-142.424091,13,89.306748
-314.13183,21,98.216592
-244.094535,14,103.402072
-245.462174,22,112.769452
-279.601154,21,121.863351
-239.662247,19,128.694359
-224.913424,16,134.21463
-284.15671,17,140.18333
-338.769921,21,147.306814
-308.672538,18,153.016828
-389.652975,17,158.287407
-241.975585,22,166.149131
-251.331583,16,171.804039
-281.078381,20,180.280314
-216.105726,18,187.187746
-246.94002,16,192.93344
-360.462674,14,198.179741
-210.931245,19,204.776342
-263.552465,13,208.700837
-289.05828,18,214.444233
-309.477544,17,219.746862
-246.402105,19,225.666034
-241.29028,18,231.829715
-258.276323,20,240.829405
-266.142809,17,247.953626
-282.065797,15,254.132152
-268.460702,17,260.201292
-286.066882,20,270.498916
-253.316633,14,275.140257
-311.944306,16,279.894868
-211.367223,19,287.658768
-244.174529,13,292.120378
-243.672475,13,297.276376
-248.241163,13,301.186637
-259.069908,20,309.214118
-255.998093,22,317.129454
-335.552849,22,324.168562
-256.356758,17,330.354423
-297.916084,12,334.178052
-285.599325,18,341.302926
-300.819428,14,346.7137
-289.841568,13,350.258403
-320.137465,21,357.461745
-276.498198,18,363.190736
-271.079141,18,370.565846
-138.949593,15,375.561852
-329.900269,22,384.100471
-269.323812,17,390.162219
-250.309832,19,396.029198
-334.532621,15,400.80902
-181.43753,17,406.538624
-186.140542,23,414.767247
-236.604836,16,419.886574
-280.821401,17,427.105027
-320.480826,17,435.078033
-320.847421,21,443.455905
-262.850584,17,448.956819
-166.242152,11,452.09535
-233.052361,19,458.137569
-349.473051,17,463.837497
-303.880711,17,469.950758
-198.018462,20,478.517482
-259.286188,18,484.036297
-301.51426,19,491.942891
-289.884007,24,499.93936
-251.052546,13,504.233751
-251.890224,14,509.425235
-190.099886,17,518.354904
-258.356512,11,521.966713
-255.902512,15,527.749193
-296.35207,14,532.101072
-409.393034,18,538.023028
-268.746696,14,543.579279
-264.027962,21,551.24884
-224.762651,17,556.462303
-305.557932,14,561.720777
-287.625117,15,571.245489
-274.192288,21,580.028561
-310.643017,14,585.279634
-261.549017,10,588.649699
-243.641907,18,594.399427
-290.621855,13,598.811375
-267.203776,15,603.653025
-203.37189,12,608.856338
-402.796388,14,614.095403
-239.71348,16,618.869467
-256.44235,17,628.074342
-257.427426,19,634.110955
-347.044265,18,641.22035
-287.778331,20,648.789645
-289.202181,14,654.59568
-299.546287,17,660.176393
-337.453613,17,667.987086
-281.016604,20,674.842693
-264.387018,13,680.605603
-296.666011,14,686.122115
-290.033282,13,690.944642
-297.698134,19,698.889077
-327.870118,18,705.113493
-258.517912,18,711.802042
-315.914199,19,718.969435
-274.766138,19,725.477998
-165.37512,15,731.043991
-285.557156,16,737.344869
-274.520837,11,740.998599
-319.867002,18,746.624498
-290.474236,10,749.612471
-282.771974,12,754.964431
-310.702867,21,762.464268
-300.07453,22,769.194349
-327.509137,21,776.255585
-162.44917,15,781.060604
-186.763621,25,790.666236
-371.479833,19,798.256294
-249.497345,18,804.217931
-221.988624,16,810.131184
-234.107203,19,816.500535
-280.996097,18,823.885479
-289.326899,14,828.312892
-282.672011,17,834.530845
-233.71708,15,841.505744
-388.800461,18,847.775618
-268.719319,24,857.477244
-283.574859,21,864.018523
-230.659561,22,871.16725
-320.771617,17,878.606426
-268.553224,18,885.508732
-279.128236,16,890.670196
-315.837196,20,897.567151
-280.823415,11,900.962568
-236.205892,18,906.595796
-212.762774,22,913.479379
-290.429886,12,919.302707
-331.729499,17,925.571415
-267.960579,15,931.084631
-229.149516,16,936.773302
-311.275951,21,943.037994
-317.744777,15,947.904671
-237.935154,19,954.610336
-311.234161,20,963.733499
-291.649607,20,970.702206
-272.902693,18,976.109951
-289.290229,16,982.121925
-212.422843,18,989.432034
