#{"t_start": 1776774600.5500343, "env_id": "None"}
r,l,t
-257.851551,13,3080.868403
-269.407813,12,3086.032913
-260.65013,13,3092.602964
-275.358047,13,3096.117862
-245.923575,16,3104.260751
-253.572623,11,3107.565885
-194.622009,11,3110.827978
-196.260652,10,3116.662474
-264.265014,13,3119.897442
-334.315563,19,3127.262444
-384.025598,16,3131.381225
-254.935408,16,3136.29698
-196.260652,10,3139.586636
-149.414168,19,6380.379537
-86.873771,21,6385.180158
-147.800492,21,6390.301552
-90.326542,20,6394.887689
-131.406863,23,6400.113032
-154.222613,21,6404.976854
-152.768049,20,6409.930304
-184.352549,21,6414.848314
-150.399893,22,6419.919688
-152.768049,20,6424.886362
-129.472004,23,6430.434044
-110.601204,20,6434.956921
-114.181912,21,6439.900027
-122.201626,19,9706.917974
-103.310331,21,9712.255274
-130.38778,21,9717.315305
-124.599251,26,9723.442182
-141.919752,20,9728.073431
-132.919283,20,9732.834752
-101.853632,22,9737.966491
-113.70838,21,9743.00727
-115.490542,23,9748.301875
-136.927851,20,9753.103099
-141.336307,25,9759.406886
-145.774277,22,9764.67412
-114.727949,25,9770.732924
-136.362637,23,13060.924231
-75.553818,22,13065.756764
-156.00001,25,13071.904506
-123.53615,24,13077.472842
-135.319847,21,13082.417614
-105.201412,22,13087.572588
-97.297582,21,13092.296877
-142.937796,26,13098.605513
-157.243896,23,13103.927865
-103.709936,23,13109.456118
-132.110692,23,13114.594198
-130.403296,21,13119.800468
-103.107379,21,13124.673472
-126.387113,27,16393.267992
-85.008361,25,16399.200443
-95.518628,25,16404.915733
-122.683809,25,16410.966812
-98.429472,23,16416.352373
-150.601435,24,16421.972971
-109.599349,21,16426.923124
-112.150877,25,16432.717876
-110.024579,25,16438.563675
-90.673901,20,16443.441062
-113.593322,19,16448.15608
-149.126803,24,16453.801396
-78.961853,20,16458.704359
-137.06984,22,19664.626096
-81.725845,22,19669.831226
-91.666897,30,19676.925381
-89.943432,20,19681.319615
-82.67812,24,19687.042085
-125.76238,22,19692.06305
-149.618528,22,19697.0625
-95.051755,24,19702.682825
-86.069435,21,19707.724514
-87.299671,23,19713.372571
-112.309372,20,19717.56832
-131.189139,23,19722.808765
-100.795923,23,19728.014194
-96.247539,19,19732.377676
-107.685516,21,22888.848812
-143.340024,26,22894.763927
-108.151629,24,22900.510039
-84.164176,24,22906.517061
-170.691291,25,22912.214901
-92.818923,29,22919.197675
-183.881692,24,22925.118176
-79.238272,23,22930.54534
-103.483361,25,22936.511281
-87.358559,22,22941.546265
-122.973405,22,22947.057276
-89.346174,29,22953.963349
-112.717001,29,22960.851976
-88.766637,26,26128.264566
-94.314923,28,26134.583651
-104.98446,22,26139.433001
-79.251913,26,26145.47514
-123.996362,27,26151.890024
-75.309449,26,26158.071324
-112.175552,37,26166.809142
-70.768547,29,26173.658175
-101.42805,26,26179.461387
-115.617409,30,26186.456395
-104.98446,22,26191.569547
-100.271561,28,26198.074131
-110.029569,31,26205.200085
-71.780214,21,29383.163348
-101.853933,17,29388.238403
-91.670678,25,29394.821848
-90.213833,24,29402.344505
-87.617555,23,29409.605513
-103.794298,31,29418.27459
-96.355684,21,29423.283978
-100.892153,27,29429.732024
-158.58854,29,29436.1202
-84.63029,27,29442.296224
-82.928702,23,29447.883224
-81.820204,27,29454.172674
-97.136411,19,29458.776012
-91.532678,24,29464.613054
-100.987451,29,32519.320779
-123.394603,29,32526.057344
-79.463383,33,32533.660298
-64.896491,30,32540.899837
-96.53871,23,32546.379657
-78.859807,31,32553.40747
-72.56855,27,32559.804489
-63.683021,39,32568.609946
-127.87612,26,32574.684717
-120.486105,35,32582.9573
-120.503035,24,32588.485381
-99.615762,27,32594.641741
-69.406985,24,35684.255498
-99.652028,25,35690.039873
-74.27915,23,35695.648312
-56.992575,30,35702.881833
-86.025722,30,35709.890642
-101.86232,21,35714.789143
-97.099828,23,35720.538706
-94.470804,28,35727.652047
-120.221125,24,35733.463349
-84.551443,28,35740.12189
-73.759894,34,35748.721832
-99.652028,25,35754.611814
-86.024412,23,35759.94863
-84.420923,24,38845.396331
-77.360964,31,38852.681409
-73.43815,31,38859.791309
-84.071496,24,38865.460975
-82.085974,27,38871.429533
-93.072494,31,38878.709945
-125.83243,20,38883.159978
-108.39993,27,38889.723926
-98.604059,23,38895.000633
-100.431042,31,38902.544791
-88.942859,28,38909.186001
-93.354005,26,38914.882835
-89.621235,31,38921.878402
-86.139966,25,41965.454731
-92.652017,30,41972.269207
-99.466067,33,41979.927974
-102.824956,33,41988.375344
-78.365049,33,41996.146663
-92.461062,22,42001.365352
-83.660466,29,42008.162996
-109.295323,24,42013.773508
-84.53211,38,42022.502324
-75.368713,26,42028.683604
-73.83016,28,42035.265151
-91.547691,24,42040.875992
-54.955807,29,42047.477751
-74.035168,34,45062.644886
-95.746491,39,45071.733382
-73.61636,26,45077.665762
-99.725309,31,45084.919207
-84.160328,26,45090.692851
-93.605827,29,45097.460216
-116.669616,25,45103.174621
-71.289427,28,45110.145476
-87.145735,39,45119.06862
-65.498392,29,45127.015873
-55.095906,34,45135.083844
-91.755738,25,45140.630272
-99.725309,31,45147.919053
-82.135936,26,45153.832738
-85.915566,23,48490.69764
-91.059927,30,48499.218929
-102.996785,26,48506.507964
-62.605336,38,48516.754976
-71.628324,29,48524.885732
-52.65971,38,48536.154717
-53.545607,35,48545.721036
-53.025063,42,48557.515091
-89.964748,25,48564.68581
-110.57617,31,48573.48769
-83.763069,33,48582.839583
-71.839404,27,48590.373664
-59.572243,33,48599.599301
-88.818404,32,52128.670124
-77.229329,32,52137.880739
-39.648924,44,52150.278892
-75.09513,33,52159.914687
-9.147681,57,52175.980014
-77.151302,28,52184.067882
-105.251925,34,52193.509064
-80.967862,30,52201.597271
-19.487692,52,52216.408433
-59.599897,36,52227.037745
-46.274533,40,52238.145481
-78.290828,38,52249.130581
-98.268831,23,55736.954353
-78.885714,31,55746.48288
-76.273064,28,55754.530614
-73.843884,29,55763.076689
-44.794769,35,55773.337322
-64.074165,31,55782.192811
-100.574073,24,55789.062546
-64.552783,32,55797.822695
-44.794769,35,55807.361337
-82.522011,29,55816.491222
-62.079946,35,55826.331075
-33.98173,45,55838.789127
-90.843506,34,55848.071106
-109.420999,26,55855.803113
-19.974668,47,59327.492543
-68.867564,29,59335.796577
-72.789312,34,59344.367303
-31.583775,42,59356.792426
-78.530522,28,59365.083694
-83.665278,25,59372.209255
-76.512222,33,59381.614925
-92.115939,31,59390.516071
-76.512222,33,59399.66206
-35.338466,42,59412.036002
-31.293173,46,59425.360894
-78.984039,28,59433.609861
-48.920945,33,59443.19329
-75.267306,27,59450.738634
-17.530431,47,62900.427865
-37.720725,36,62910.746088
-57.406968,38,62921.710661
-56.530116,36,62931.909581
-70.168949,29,62940.429254
-75.261571,45,62952.928549
-40.946475,41,62964.829151
-49.586338,35,62974.598355
15.870426,54,62989.888261
-41.124607,39,63000.834167
-30.611949,46,63014.151079
-49.032983,36,63024.297472
-63.294507,32,63033.570045
