#{"t_start": 1776774591.3699374, "env_id": "None"}
r,l,t
-273.303247,19,19.755598
-275.276008,16,25.110081
-232.111689,17,30.920086
-244.833861,13,35.529005
-276.507779,17,42.936558
-301.830337,20,49.61723
-293.803103,15,54.443252
-283.003026,16,60.10436
-320.198023,20,67.637834
-223.615851,20,75.513376
-399.758749,18,83.084349
-231.830038,19,90.069101
-275.227514,19,98.238574
-261.024304,19,106.063951
-277.462566,14,111.548046
-248.170547,19,119.471066
-227.009415,15,125.009143
-290.817386,15,130.936147
-268.123213,16,136.063591
-288.551202,21,143.576911
-274.448004,14,148.666985
-141.860551,15,153.020166
-391.181924,21,159.461059
-209.137761,20,166.804711
-268.656614,15,172.246019
-280.704521,16,179.363164
-132.251843,16,185.469989
-218.612322,19,192.071528
-248.963749,14,197.375971
-220.512742,18,203.678578
-292.456564,18,209.763016
-282.747781,19,215.49458
-187.76578,22,222.496053
-330.194746,20,228.819951
-231.755587,20,235.888923
-271.492946,17,244.593218
-290.417625,15,250.833815
-268.58836,14,255.503085
-300.989691,20,264.865267
-120.466464,14,271.246691
-310.296073,14,275.794672
-266.432962,15,280.381923
-196.628591,20,288.666057
-415.463101,14,293.050602
-247.371747,19,300.024381
-363.59011,18,307.346566
-250.593175,13,311.767446
-301.194636,18,318.158812
-272.378968,9,320.876789
-239.938587,16,326.556164
-261.768582,17,332.460297
-258.672916,15,337.902655
-342.010617,22,346.28904
-240.548331,18,351.729416
-280.623102,19,358.252891
-280.363715,17,363.642554
-322.626083,16,369.869853
-112.339405,11,373.535877
-298.159985,19,380.89227
-343.321385,20,387.725186
-268.511551,17,393.889834
-292.256551,17,399.08877
-254.202679,17,404.915081
-264.150373,16,411.381872
-277.521379,14,415.635985
-270.66657,19,421.509242
-247.884324,10,426.325293
-336.484383,17,434.489524
-254.108498,15,439.442406
-283.842906,13,445.075034
-273.932972,20,450.997721
-322.926617,20,457.43624
-275.451347,18,463.401692
-173.126022,17,469.517954
-264.440717,12,474.398101
-228.143472,17,481.121339
-192.264708,12,484.89046
-293.848444,13,490.182084
-196.419249,21,497.828568
-328.822401,12,501.43814
-278.106752,12,506.467111
-338.224584,17,513.200938
-216.790316,19,520.96292
-360.129859,14,526.795977
-222.267305,19,532.987656
-269.142596,17,538.416067
-240.143424,20,546.242507
-247.566705,17,552.336443
-245.965407,17,557.45133
-248.628192,16,565.002733
-301.05713,17,575.482941
-217.292158,14,580.047489
-322.663058,17,586.362291
-198.284067,21,592.958951
-253.285558,16,598.435337
-261.62108,19,604.780677
-206.669866,22,613.64697
-319.831058,12,617.452666
-334.044263,17,624.944958
-229.264457,21,633.226875
-287.180564,10,638.214911
-187.875659,18,644.30965
-242.614692,22,652.373302
-261.255984,15,657.783614
-336.607428,14,662.881657
-220.458063,15,670.040405
-254.086274,24,678.225348
-267.506882,12,683.3398
-233.858152,22,692.331365
-241.551245,19,700.006873
-359.27153,19,706.494306
-235.049284,13,711.370423
-346.391778,18,718.296645
-282.95444,10,721.965624
-340.024917,18,727.535082
-310.247351,15,734.267128
-190.727849,16,739.654381
-381.304495,20,745.842601
-211.920549,19,751.935202
-264.52063,18,760.058557
-253.997694,13,764.10215
-284.405057,17,769.195688
-237.124899,17,774.74801
-316.148639,16,780.063905
-203.984585,19,787.778873
-279.736646,12,792.666227
-275.179442,19,799.216773
-366.723171,11,802.892826
-227.10558,17,809.244366
-296.917151,18,815.191885
-276.978633,13,821.07934
-218.895645,23,828.313987
-254.642128,11,832.766703
-412.526929,20,841.054277
-237.603783,25,849.869216
-409.621414,12,855.511649
-259.756904,15,860.430631
-231.729851,21,866.756667
-259.055178,17,873.803688
-259.73239,19,880.934965
-310.678787,17,886.966911
-275.563386,18,893.030856
-254.613944,21,900.094058
-316.459982,17,905.421848
-298.09703,12,908.942371
-255.671452,18,915.629661
-265.381717,18,922.439038
-314.711145,16,928.684588
-347.732108,20,935.821967
-238.169988,19,941.652473
-287.97097,19,947.921591
-373.468007,21,955.297287
-237.670431,20,964.380021
-259.535244,16,969.519407
-265.472596,20,976.103687
-252.317165,21,983.584828
-302.491279,18,991.749922
-243.70124,16,997.048198
-240.975983,21,1004.002727
-253.533589,16,1010.070393
-207.67814,18,1016.90308
-358.543662,17,1022.641835
-311.57606,19,1029.82719
-270.660972,18,1036.634022
-245.28701,11,1040.057271
-263.549513,16,1046.039209
-315.26596,18,1051.699862
-302.677603,23,1059.182801
-281.67389,13,1063.165263
-295.433321,22,1071.024804
-236.279057,17,1076.659199
-326.694925,17,1082.216237
-240.134154,16,1088.502704
-306.83532,14,1094.006644
-251.909509,15,1098.350144
-228.664266,20,1106.809612
-284.92577,17,1112.58377
-259.816006,11,1117.085125
-275.457294,16,1122.5825
-267.149485,20,1128.870069
-297.457716,12,1136.329518
-323.722564,19,1144.35826
-150.183932,14,1148.592959
-197.528426,18,1155.488213
-242.994955,21,1163.156285
-267.573115,20,1169.976754
-259.914883,12,1174.87332
-285.176075,17,1180.817466
-248.902471,17,1187.964978
-324.713922,17,1194.111713
-212.323733,20,1201.333069
-253.651807,17,1207.067946
-327.444671,19,1214.087632
-289.916623,16,1220.07368
-245.962523,17,1225.56143
-216.506965,18,1231.267035
-245.395146,15,1237.824431
-140.971042,10,1241.917992
-321.467229,18,1251.569052
-295.073012,18,1258.745389
-179.37263,16,1264.367843
-285.380922,20,1270.566799
-293.586999,16,1276.099811
-147.395572,12,1280.396878
-357.716078,14,1284.614786
-245.839541,16,1291.66262
-248.903145,18,1297.034886
-307.350625,20,1303.578287
-216.543227,17,1309.474957
-155.291624,13,1313.048202
-306.777517,23,1322.516992
-251.469092,20,1329.808311
