#{"t_start": 1776774600.5527067, "env_id": "None"}
r,l,t
-293.173678,14,3081.250688
-268.748873,10,3083.996197
-314.595846,12,3091.130588
-219.729199,11,3095.142581
-269.595226,12,3099.247743
-384.025598,16,3106.581742
-196.260652,10,3109.529164
-322.135161,12,3114.451414
-236.24531,13,3119.238234
-286.074784,14,3123.106896
-309.563194,23,3131.370516
-334.022759,21,3138.1136
-243.752546,13,3141.451696
-131.465529,20,6380.84935
-213.897723,24,6386.4454
-213.897723,24,6392.095391
-163.454067,23,6397.305815
-131.382502,22,6402.475996
-90.586468,19,6406.914494
-169.010793,19,6411.356019
-150.399893,22,6416.559591
-113.537164,19,6421.103559
-133.376215,18,6425.650132
-162.25545,21,6430.414181
-133.612295,23,6435.745855
-163.995949,22,6440.921464
-161.162641,26,9708.946605
-122.380224,21,9714.261335
-123.923848,25,9719.841337
-128.012916,20,9724.653107
-109.751931,21,9729.662367
-132.919283,20,9734.216188
-115.404714,23,9739.604347
-116.384807,22,9744.869637
-140.581211,19,9749.301289
-95.919586,18,9753.989829
-150.560091,26,9760.20557
-133.645483,24,9766.030389
-150.369108,24,9771.751824
-153.814942,23,13060.919555
-122.037113,25,13066.545029
-102.994916,17,13070.473499
-128.268405,20,13075.178489
-132.949494,23,13080.376722
-128.064014,24,13086.095441
-105.584684,24,13091.763952
-102.508383,22,13096.914967
-135.636517,21,13101.801978
-109.038415,20,13106.568776
-97.646368,28,13113.099664
-98.58643,24,13119.056328
-141.576313,24,13124.640812
-107.15597,24,16392.351739
-102.703964,24,16398.081831
-110.682027,22,16403.221697
-101.494175,22,16408.321442
-97.257878,26,16414.687335
-112.656538,23,16420.089895
-110.024579,25,16425.897477
-96.683711,26,16431.855807
-115.722124,25,16437.805555
-115.722124,25,16443.959751
-99.980547,25,16449.961198
-99.777936,24,16455.576547
-94.63129,24,16461.402103
-95.938211,23,19664.978543
-92.897341,25,19670.90244
-114.762085,20,19675.354669
-125.299915,27,19681.699715
-121.724479,26,19687.859303
-93.297687,28,19694.247291
-89.203051,24,19699.751645
-115.568249,26,19705.689538
-89.607322,24,19711.371442
-78.047192,31,19718.706723
-88.176176,19,19722.806093
-101.97039,24,19728.35151
-89.607322,24,19733.9728
-107.685516,21,22888.860166
-78.377673,28,22895.420774
-119.136152,26,22901.70326
-103.901132,26,22907.945304
-110.110272,22,22913.093858
-148.65121,24,22918.569945
-83.049051,23,22924.32463
-104.767331,26,22930.526728
-83.049051,23,22935.88079
-109.666562,25,22941.913128
-134.498171,26,22948.261499
-87.358559,22,22953.356714
-125.387659,26,22959.662654
-109.761849,22,26127.345125
-108.712581,31,26134.171313
-126.921614,33,26141.85285
-76.160217,26,26147.918845
-91.926767,28,26154.573579
-65.299625,33,26162.279041
-81.212893,27,26168.700875
-71.682199,32,26176.250285
-106.351874,26,26182.268418
-114.71658,21,26187.070922
-94.285744,25,26192.800785
-144.147761,34,26200.87856
-109.637978,28,26207.11839
-101.421055,31,29386.233281
-91.399051,36,29396.181952
-89.431681,20,29402.347868
-80.98549,20,29408.643953
-67.818605,31,29417.46844
-84.53278,29,29424.544238
-105.367174,36,29432.857422
-80.454226,27,29438.793268
-97.505098,30,29445.961805
-71.773356,29,29452.831333
-81.960202,18,29457.059555
-106.938325,18,29461.201836
-84.700053,27,29467.684803
-83.331031,29,32519.31234
-134.462005,25,32525.093941
-96.53871,23,32530.581448
-102.208804,32,32538.071
-121.42934,27,32544.580328
-81.470073,29,32551.173878
-94.659554,33,32558.71869
-111.123936,21,32563.872023
-99.615762,27,32569.990791
-99.736212,29,32576.541715
-123.644576,29,32583.505871
-65.152213,24,32589.14147
-83.126542,25,32594.627934
-82.425302,26,35684.834645
-100.099924,26,35690.855265
-89.783574,25,35696.8787
-85.558576,32,35704.614007
-54.682593,30,35711.654641
-94.470804,28,35718.010542
-80.152212,35,35727.015094
-74.647205,22,35732.381591
-96.108591,25,35738.506707
-79.528949,23,35744.423754
-71.360556,29,35751.16687
-78.046203,23,35756.619791
-75.62102,28,35763.445235
-106.160961,31,38847.436442
-106.160961,31,38854.401497
-105.180831,25,38860.140379
-125.106301,26,38866.19771
-93.822984,26,38872.040747
-99.217618,26,38877.941236
-100.832617,27,38884.354763
-72.081167,33,38891.938859
-55.972584,34,38899.99522
-86.719899,31,38907.339643
-73.495726,24,38912.70517
-58.34862,29,38919.186169
-94.453413,26,38925.622286
-57.009513,27,41965.972677
-106.461548,32,41973.215633
-86.229022,32,41980.680382
-100.57159,24,41986.687127
-77.25474,37,41995.591413
-70.642815,27,42002.237921
-51.333561,45,42012.435265
-85.790136,26,42018.51631
-109.015173,26,42024.588983
-57.045311,27,42031.06029
-92.946483,25,42036.928362
-96.128228,40,42045.993013
-53.035564,32,42053.220265
-61.276305,30,45061.537169
-89.09253,28,45068.22532
-84.613424,30,45075.016165
-57.523372,37,45083.504097
-65.640062,33,45091.426864
-90.16777,23,45096.54241
-38.026692,38,45105.20453
-65.932657,36,45114.131098
-93.522761,32,45121.466737
-69.787171,32,45129.909094
-47.852686,41,45139.414676
-78.623669,31,45146.561789
-71.326384,32,45154.208946
-73.06637,34,48494.149585
-75.133004,30,48501.998174
-65.550249,32,48511.383894
-102.996785,26,48518.475303
-98.350412,26,48525.835314
-77.604098,29,48534.181474
-84.177443,31,48542.737345
-53.545607,35,48552.1465
-66.597259,31,48560.948568
-80.640408,30,48569.67545
-53.709798,32,48578.889105
-61.292731,29,48587.125771
-51.023696,34,48596.695963
-77.736113,33,52129.237395
-49.151407,38,52140.031006
-59.460855,35,52149.493893
-67.497487,24,52156.678261
-101.721256,35,52166.815829
-62.455395,28,52174.467848
-95.970198,31,52183.37399
-43.739563,36,52193.514731
-95.34623,30,52201.588787
-76.076652,27,52209.162118
-95.459471,27,52217.115749
-77.865797,41,52228.878204
-89.110082,38,52239.800313
-86.713179,27,55738.132409
-19.453995,49,55752.748387
-75.300112,34,55762.551431
-67.61083,33,55772.131478
-47.362214,41,55784.499696
-27.729116,50,55798.297532
-83.140661,27,55804.883522
-84.674596,31,55814.533893
-87.247821,27,55822.624584
-69.031619,32,55831.677789
-90.843506,34,55841.065751
-72.947655,28,55848.765254
-80.558715,40,55860.263012
-44.226613,47,59327.485859
-76.082038,28,59335.310167
-58.057344,35,59344.380927
-79.950577,30,59353.393325
-86.132069,32,59362.622282
-58.057344,35,59372.931914
-26.887267,41,59384.231993
-22.480307,46,59397.510984
-89.182204,27,59405.21915
-21.743893,55,59420.923882
-76.099827,40,59432.755073
-58.337921,45,59446.131078
-81.402982,38,59456.381944
-61.835046,37,62897.479476
-108.482398,26,62904.793173
-50.370899,33,62914.452647
-28.745707,44,62926.948498
40.151535,70,62947.266325
-63.294507,32,62956.16465
-73.38298,28,62964.081494
