#{"t_start": 1776774600.5669887, "env_id": "None"}
r,l,t
-263.169528,10,3080.047105
-265.593136,14,3083.976842
-298.145838,15,3092.955142
-287.68954,12,3096.100908
-258.698171,13,3102.278187
-334.044378,17,3108.363607
-250.297483,9,3111.816319
-170.056829,9,3116.633627
-287.445094,16,3120.807287
-287.68954,12,3125.963795
-262.23742,13,3129.241959
-257.807573,13,3134.012571
-254.935408,16,3138.492187
-115.3886,20,6380.838829
-117.624647,21,6385.528447
-137.569254,19,6389.925336
-184.352549,21,6394.862696
-139.179132,24,6400.480363
-149.684163,21,6405.321996
-148.652521,17,6409.368483
-111.359691,24,6415.208628
-166.75149,24,6420.662464
-97.11103,18,6425.286711
-130.2426,20,6429.861792
-166.409481,19,6434.206688
-117.624647,21,6439.117819
-120.881431,21,9707.496902
-100.356856,22,9713.218315
-134.96637,18,9717.29835
-100.774285,25,9723.049751
-126.724512,24,9728.83772
-151.648689,26,9734.932455
-115.404714,23,9740.300253
-118.353278,19,9744.859279
-105.745545,25,9750.699439
-134.96637,18,9755.407515
-117.339506,22,9760.774887
-127.443198,18,9765.028866
-159.603678,24,9770.709954
-87.305748,22,13060.512435
-100.108233,22,13065.308728
-113.738093,22,13070.826881
-115.072495,22,13075.897199
-145.86067,23,13081.20261
-111.939234,22,13086.432126
-114.025554,26,13092.667141
-103.542645,22,13097.595634
-104.817153,19,13102.152111
-116.39945,22,13107.378604
-140.202682,24,13112.738274
-101.355459,18,13117.320783
-114.353669,24,13122.83869
-105.817884,21,16391.57163
-136.02061,23,16396.897109
-125.250909,23,16402.34313
-106.333992,23,16407.710229
-103.442284,23,16413.373878
-99.777936,24,16418.936945
-91.895767,21,16423.909914
-115.147629,25,16429.682478
-89.693548,22,16435.085467
-91.895767,21,16439.957464
-126.387113,27,16446.664958
-110.75269,24,16452.372306
-101.721035,22,16457.720917
-102.950284,21,19664.224631
-91.666897,30,19671.686419
-86.069435,21,19676.34932
-95.769984,22,19681.300914
-74.475263,24,19687.031157
-105.775896,25,19692.753341
-114.484231,19,19697.067399
-114.484231,19,19701.49971
-106.870437,23,19706.867038
-92.548911,21,19711.957541
-91.666897,30,19719.06986
-125.916606,24,19724.287408
-103.926887,24,19729.799558
-111.176835,31,22891.356427
-114.95465,26,22897.398084
-99.286342,25,22903.528084
-90.751876,28,22910.093344
-123.408199,24,22915.867212
-97.301272,22,22921.064559
-130.092586,25,22927.179025
-90.751876,28,22933.684972
-110.05498,21,22938.716396
-140.425261,26,22944.719742
-114.79004,26,22951.141355
-99.286342,25,22957.095329
-65.21026,34,22965.002291
-106.351874,26,26128.243598
-81.212893,27,26134.168197
-99.41203,29,26140.774781
-77.141437,25,26146.656713
-118.537482,25,26152.653363
-88.802713,32,26160.205446
-103.632141,23,26165.659257
-122.899386,31,26172.846357
-58.973582,32,26180.203337
-98.146517,24,26185.765625
-94.255017,37,26194.419848
-112.318093,23,26199.672077
-140.459627,23,26204.824785
-83.600726,27,29384.943504
-71.760249,31,29393.281953
-100.70432,23,29400.118228
-89.431681,20,29406.882566
-73.975633,22,29413.414439
-66.537557,29,29420.788395
-102.151807,27,29427.362376
-105.65892,24,29432.853162
-80.454226,27,29438.759412
